# EXECUTED-SURFACE MANIFEST — every flag corral exposes, and whether anything
# has ever run it.
#
# WHY IT EXISTS. `--jail container` was advertised in the README as the
# macOS/Windows path and had never been executed once. It was broken in the
# most basic way available: docker mounts --tmpfs noexec, Go compiles its test
# binary into /tmp and execs it, so every run died as COULD-NOT-GRADE. A claim
# written from intent rather than from a run is indistinguishable, on the page,
# from one that was earned. This file is the difference.
#
# An exposed flag is a promise whether or not anyone documented it, so the
# enumeration is every flag in docs/cli/*.md — which scripts/gen-cli-docs.sh
# --check guarantees is what the binaries really print.
#
# COLUMNS: surface <TAB> status <TAB> receipt
#
#   executed    something ran it. The receipt names WHAT: `test:<file>` or
#               `run:<date> <record or scan id>`.
#   attested    executed, but not reproducible in CI, and the reason is not
#               "nobody got round to it": it costs money per run (paid model
#               seats) or it has an irreversible public side effect
#               (--transparency writes to Sigstore Rekor, permanently).
#               A missing macOS or Windows runner is NOT this — GitHub offers
#               both free to public repos, so those are unexecuted with a task
#               behind them, not a status.
#   unexecuted  no test passes it and no recorded run used it. LEGAL, and the
#               point: the manifest does not demand everything be proven, it
#               demands you know. The companion rule is that nothing marked
#               unexecuted may appear in a user-facing claim.
#
# WHAT A `test:` RECEIPT DOES NOT PROVE. It names a test in the owning binary's
# package that passes this flag literal. That is a pointer to read, not proof
# the flag's BEHAVIOUR is asserted — a test may pass a flag and never check
# what it did. Treat it as "someone has been here", and upgrade it to a `run:`
# receipt or a named behavioural test when the surface matters.
#
# AND IT MISSES THE OPPOSITE CASE, which the first triage pass found the hard
# way. --max-proven-missed was seeded `unexecuted` because no test passes that
# string — while TestMaxProvenMissedFailsClosedWhenNothingCouldBeProven had
# been calling repoScanExitCode with its value directly all along. The flag's
# LOGIC was tested; its parsing was not. So a seeded `unexecuted` means "no
# test passes the literal and no recorded run used it", which is narrower than
# "nothing has ever exercised this". Read a row as a question that has been
# ASKED, not as a measurement — and when you triage one, look for a
# behavioural test before assuming the surface is untouched.
#
# Regenerate the enumeration, never this file's judgements, with
# TestDocsEverySurfaceIsClassified, which fails on a surface with no row and on a
# row for a surface that no longer exists.
corral certify --repo --max-proven-missed	executed	test:cmd/corral/certify_repo_test.go (gate logic; flag parsing still unexercised)
corral certify --repo --min-kill-rate	executed	test:cmd/corral/certify_repo_test.go
corral certify --repo --mutant-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --repo --mutants	executed	test:cmd/corral/certify_repo_evidence_candidacy_test.go
corral certify --repo --no-fail-fast	executed	test:cmd/corral/certify_failfast_flag_test.go (reaches every job's audit input); semantics in internal/adequacy/verdict_identity_test.go
corral certify --repo --no-goal-cache	executed	test:cmd/corral/certify_repo_goalcache_test.go (TestNoGoalCacheFlagDerivesEveryTime)
corral certify --repo --no-selection-cache	executed	test:cmd/corral/certify_repo_selcache_test.go
corral certify --repo --owner	executed	test:cmd/corral/action_test.go
corral certify --repo --preflight	executed	test:cmd/corral/certify_repo_test.go
corral certify --repo --push	executed	run:2026-09-02 md:corral_public scans 22-26
corral certify --repo --push-source	executed	test:cmd/corral/certify_repo_custody_test.go
corral certify --repo --record	executed	run:2026-09-02 md:corral_public scans 22-26
corral certify --repo --record-db	executed	run:2026-09-02 md:corral_public scans 22-26
corral certify --repo --record-mutants	executed	test:cmd/corral/certify_mutants_test.go
corral certify --repo --repo	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --repo --scope-tests	executed	test:cmd/corral/certify_repo_selection_test.go
corral certify --repo --shadow-model	executed	test:cmd/corral/action_test.go
corral certify --repo --shadow-writer-model	executed	test:cmd/corral/certify_local_runspec_test.go (TestResolvedChallengerModelsReachTheRunSpec: the flag reaches RunSpec.ShadowWriterModel and the shadow-writer role assignment)
corral certify --repo --substrate	executed	run:2026-09-02 md:corral_public scans 22-26 (workspace)
corral certify --repo --swarm	executed	test:cmd/corral/certify_repo_swarm_test.go + certify_repo_mutantconc_test.go (workers x per-file <= budget, swept)
corral certify --repo --tests	executed	test:cmd/corral/certify_repo_test.go
corral certify --repo --timeout	executed	test:cmd/corral/certify_adversarial_test.go
corral certify --repo --top	executed	run:2026-09-02 md:corral_public scans 22-26
corral certify --repo --transparency	executed	test:cmd/corral/certify_repo_transparency_test.go
corral certify --repo --whole-suite	executed	test:cmd/corral/certify_repo_report_selection_test.go
corral certify --repo --writer-mode	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify --repo --writer-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral certify verify --allow-unanchored	executed	test:cmd/corral/verify_test.go
corral certify verify --brain	executed	test:cmd/corral/certify_adversarial_test.go
corral certify verify --pubkey	executed	test:cmd/corral/verify_test.go
corral certify verify --rekor-url	unexecuted	
corral demo --critic-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral demo --dir	unexecuted	
corral demo --mutant-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral demo --writer-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral doctor --code	executed	test:cmd/corral/certify_adversarial_test.go
corral doctor --critic-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral doctor --jail	executed	test:cmd/corral/jail_test.go
corral doctor --mutant-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral doctor --test	executed	test:cmd/corral/certify_adversarial_test.go
corral doctor --writer-model	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral eval --brain	executed	test:cmd/corral/certify_adversarial_test.go
corral eval --corpus	executed	test:cmd/corral/eval_test.go
corral eval --iterations	executed	test:cmd/corral/eval_test.go
corral eval --only	executed	test:cmd/corral/eval_test.go
corral eval --progress	executed	test:cmd/corral/eval_test.go
corral scans push --all	executed	test:cmd/corral/certify_repo_test.go
corral scans push --db	executed	test:cmd/corral/models_rank_test.go
corral scans push --dry-run	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral scans push --scan	executed	test:cmd/corral/scans_push_test.go
corral scans push --since	unexecuted	
corral scorecard --json	executed	test:cmd/corral/models_rank_test.go
corral seal --db	executed	test:cmd/corral/models_rank_test.go
corral seal --json	executed	test:cmd/corral/models_rank_test.go
corral seal --repo	executed	test:cmd/corral/certify_repo_writer_mode_test.go
corral seal --top	executed	test:cmd/corral/certify_repo_test.go
corral verify --attest	executed	test:cmd/corral/certify_repo_transparency_test.go
corral verify --db	executed	test:cmd/corral/models_rank_test.go
corral verify --pub	executed	test:cmd/corral/verify_attest_test.go (right key verifies, wrong key FAILS without falling back, malformed key refused as unchecked)
corral verify --rekor-index	executed	test:cmd/corral/verify_attest_test.go
corral-observe --addr	executed	test:cmd/corral-observe/main_test.go (own-flags guard, binding, and pick precedence)
corral-observe --brain	executed	test:cmd/corral-observe/main_test.go (own-flags guard, binding, and pick precedence)
corral-observe --open	executed	test:cmd/corral-observe/main_test.go (own-flags guard, binding, and pick precedence)
corral-observe --ping	executed	test:cmd/corral-observe/main_test.go (own-flags guard, binding, and pick precedence)
corral-observe --token	executed	test:cmd/corral-observe/main_test.go (own-flags guard, binding, and pick precedence)
corral-observe --version	executed	test:cmd/corral-observe/main_test.go (own-flags guard, binding, and pick precedence)
corral-top --brain	executed	test:cmd/corral-top/main_test.go (envOr precedence behind the flag default)
corral-top --interval	unexecuted	
corral-top --token	executed	test:cmd/corral-top/main_test.go (envOr precedence behind the flag default)
corral ui --db	executed	run:2026-09-02 `corral ui --db md:corral_public --print-url` resolved and opened the live warehouse; test:cmd/corral/ui_test.go
corral ui --addr	executed	run:2026-09-02 `--addr 0.0.0.0:8787` emitted the non-loopback warning; test:cmd/corral/ui_test.go (isLoopback table)
corral ui --print-url	executed	run:2026-09-02 printed the URL and exited 0 without serving
